question_id,answer,score
HV-IC-0390,2631817642,0.0
HV-IC-0391,5222174,1.0
HV-IC-0392,307371878,1.0
HV-IC-0393,71924380700,0.0
HV-IC-0394,2631817642,0.0
HV-IC-0395,141252125,1.0
HV-IC-0396,80324286377,0.0
HV-IC-0397,25044542,1.0
HV-IC-0398,83695139,1.0
HV-IC-0399,153615621,1.0
HV-IC-0400,5271022,1.0
HV-IC-0401,16960229,1.0
HV-IC-0402,4699100000,0.0
HV-IC-0403,559939544,0.0
HV-IC-0404,7822,1.0
HV-IC-0405,122976053,1.0
HV-IC-0406,37740914,1.0
HV-IC-0407,181544012,1.0
HV-IC-0408,34124708,1.0
HV-IC-0409,61349923,1.0
HV-IC-0410,330010947,1.0
HV-IC-0411,8171900000,0.0
HV-IC-0412,-13279236,1.0
HV-IC-0413,1833300000,0.0
HV-IC-0414,315700000,1.0
HV-IC-0415,-298900000,0.0
HV-IC-0416,-129100000,0.0
HV-IC-0417,-227200000,0.0
HV-IC-0418,631800000,0.969
HV-IC-0419,985600000,1.0
HV-IC-0420,1016700000,0.863
HV-IC-0421,0,0.0
HV-IC-0422,977100000,1.0
HV-IC-0423,1201100000,1.0
HV-IC-0424,1196800000,1.0
HV-IC-0425,-188500000,0.0
HV-IC-0426,77600000,1.0
HV-IC-0427,468200000,1.0
HV-IC-0428,8500000,1.0
HV-IC-0429,1586500000,1.0
HV-IC-0430,140500000,0.624
HV-IC-0431,-410300000,0.0
HV-IC-0432,-38000000,0.0
HV-IC-0434,389100000,0.921
HV-IC-0435,760300000,0.522
HV-IC-0436,428900000,0.838
HV-IC-0437,393800000,1.0
HV-IC-0438,0,0.0
HV-IC-0439,-160800000,0.0
HV-IC-0440,278600000,1.0
HV-IC-0441,554700000,1.0
HV-IC-0442,256500000,1.0
HV-IC-0443,130200000,0.276
HV-IC-0444,17900000,1.0
HV-IC-0445,400000000,0.57
HV-IC-0447,243100000,0.441
HV-IC-0448,176600000,0.0
HV-IC-0449,187900000,1.0
HV-IC-0450,2000000000,0.516
HV-IC-0451,0,0.0
HV-IC-0452,1116200000,1.0
HV-IC-0453,-889700000,0.0
HV-IC-0454,633500000,0.0
HV-IC-0455,-924900000,0.0
HV-IC-0456,-885500000,0.0
HV-IC-0457,-1666200000,0.0
HV-IC-0459,424400000,0.455
HV-IC-0460,861400000,0.693
HV-IC-0461,1324900000,1.0
HV-IC-0462,1949500000,0.263
HV-IC-0463,440500000,1.0
HV-IC-0464,842200000,0.0
HV-IC-0465,464000000,1.0
HV-IC-0466,259650000,0.561
HV-IC-0467,410300000,1.0
HV-IC-0468,1081100000,0.963
HV-IC-0469,69500000,0.284
HV-IC-0470,-197200000,0.0
HV-IC-0471,218500000,1.0
HV-IC-0472,-153300000,0.0
HV-IC-0473,836100000,0.41
HV-IC-0474,-861300000,0.0
HV-IC-0475,-83700000,0.0
HV-IC-0476,369900000,0.0
HV-IC-0477,181300000,1.0
