=== SHEET: Plant Register ===
Asset ID	Type	Make	Acquired	Cost (INR)	Condition	Location	Ownership	Safety Certified
104	Gantry Crane	TerraForm Machines	2023	16800000	fair	Delhi	owned	True
105	Vibratory Roller	EarthMaster Equipments	2018	3800000	new	Gujarat	leased	True
106	Excavator	EarthMaster Equipments	2022	9800000	new	Bihar	owned	True
107	Hydraulic Crane 50T	TerraForm Machines	2019	21500000	good	Bihar	leased	True
108	Concrete Batching Plant	Vulcan Plant Works	2014	9200000	good	Delhi	owned	True
109	Transit Mixer	Girnar Plant & Machinery	2023	5600000	fair	West Bengal	owned	True
110	Soil Compactor	EarthMaster Equipments	2013	3000000	new	Delhi	owned	True
111	Motor Grader	TerraForm Machines	2018	16600000	good	Jharkhand	owned	True
112	Tipper Truck	EarthMaster Equipments	2020	3000000	good	Odisha	owned	False
113	Piling Rig	Vulcan Plant Works	2018	25900000	fair	Bihar	owned	True
114	DG Set 250kVA	Vulcan Plant Works	2015	1400000	fair	Maharashtra	owned	True
115	Water Tanker	TerraForm Machines	2024	1500000	fair	Madhya Pradesh	owned	True
116	Tower Crane	Mahadev Heavy Machinery	2016	32900000	fair	Bihar	owned	True
117	Paver Finisher	Ashva Engineering	2025	11000000	good	Jharkhand	owned	True
118	 Tunnel Boring Machine	Girnar Plant & Machinery	2019	755300000	good	Gujarat	owned	True
119	Gantry Crane	TerraForm Machines	2014	23500000	good	Maharashtra	owned	True
120	Vibratory Roller	IndoCrane Industries	2023	4600000	fair	Odisha	leased	True
121	Excavator	Girnar Plant & Machinery	2014	15500000	new	West Bengal	owned	True
122	Hydraulic Crane 50T	IndoCrane Industries	2013	28400000	good	Bihar	owned	True
123	Concrete Batching Plant	IndoCrane Industries	2021	9000000	fair	Gujarat	leased	True
124	Transit Mixer	Vulcan Plant Works	2025	2900000	good	Delhi	owned	True
125	Soil Compactor	Vulcan Plant Works	2015	3000000	new	Madhya Pradesh	owned	True
126	Motor Grader	Ashva Engineering	2022	9800000	good	Gujarat	owned	True
127	Tipper Truck	TerraForm Machines	2022	3800000	good	Jharkhand	owned	True
128	Piling Rig	EarthMaster Equipments	2025	45100000	good	Uttar Pradesh	owned	True
129	DG Set 250kVA	TerraForm Machines	2022	1000000	fair	Bihar	owned	True
130	Water Tanker	IndoCrane Industries	2023	1500000	good	Jharkhand	owned	True
131	Tower Crane	Ashva Engineering	2022	26300000	new	Maharashtra	leased	True
132	Paver Finisher	Ashva Engineering	2016	21500000	fair	West Bengal	owned	False
133	 Tunnel Boring Machine	IndoCrane Industries	2017	412100000	fair	Maharashtra	owned	True
134	Gantry Crane	Vulcan Plant Works	2018	10800000	new	Bihar	owned	True
135	Vibratory Roller	Mahadev Heavy Machinery	2012	5800000	new	Bihar	owned	True
136	Excavator	Girnar Plant & Machinery	2021	9000000	fair	Maharashtra	owned	True
137	Hydraulic Crane 50T	Ashva Engineering	2016	15200000	fair	Jharkhand	owned	False
138	Concrete Batching Plant	Ashva Engineering	2021	11800000	fair	Delhi	leased	True
139	Transit Mixer	Vulcan Plant Works	2015	3600000	new	Maharashtra	owned	True
140	Soil Compactor	TerraForm Machines	2016	4500000	fair	Maharashtra	owned	True
141	Motor Grader	Mahadev Heavy Machinery	2015	9300000	fair	Madhya Pradesh	owned	True
142	Tipper Truck	EarthMaster Equipments	2012	3800000	fair	Gujarat	leased	True
143	Piling Rig	Ashva Engineering	2023	37600000	good	Madhya Pradesh	leased	False
144	DG Set 250kVA	Mahadev Heavy Machinery	2023	1200000	good	Odisha	owned	True
145	Water Tanker	EarthMaster Equipments	2025	800000	fair	Tamil Nadu	owned	True
146	Tower Crane	Vulcan Plant Works	2024	12300000	good	Madhya Pradesh	leased	True
147	Paver Finisher	IndoCrane Industries	2013	12000000	new	Jharkhand	owned	True
148	 Tunnel Boring Machine	Vulcan Plant Works	2021	444000000	good	West Bengal	owned	True
149	Gantry Crane	Vulcan Plant Works	2013	19200000	fair	Maharashtra	leased	True
150	Vibratory Roller	Vulcan Plant Works	2021	3100000	new	Tamil Nadu	owned	True
151	Excavator	Vulcan Plant Works	2024	18000000	good	Delhi	leased	True
152	Hydraulic Crane 50T	Girnar Plant & Machinery	2015	29900000	new	Jharkhand	owned	False
153	Concrete Batching Plant	TerraForm Machines	2023	21700000	good	Odisha	leased	True
154	Transit Mixer	Ashva Engineering	2021	4800000	fair	Bihar	owned	True
155	Soil Compactor	TerraForm Machines	2025	4700000	good	Madhya Pradesh	leased	True
156	Motor Grader	Ashva Engineering	2016	16700000	new	West Bengal	leased	True
157	Tipper Truck	Mahadev Heavy Machinery	2025	3300000	fair	Gujarat	owned	True
158	Piling Rig	Girnar Plant & Machinery	2020	58100000	good	Delhi	owned	True
159	DG Set 250kVA	Girnar Plant & Machinery	2020	800000	good	Bihar	owned	True
160	Water Tanker	TerraForm Machines	2024	1200000	good	Gujarat	owned	False
161	Tower Crane	EarthMaster Equipments	2013	20600000	fair	Odisha	owned	True
162	Paver Finisher	TerraForm Machines	2024	14800000	good	Bihar	leased	True
163	 Tunnel Boring Machine	Vulcan Plant Works	2024	403200000	good	Bihar	leased	True
164	Gantry Crane	EarthMaster Equipments	2019	14500000	good	Maharashtra	owned	True
165	Vibratory Roller	Vulcan Plant Works	2015	3200000	good	Maharashtra	owned	True
166	Excavator	EarthMaster Equipments	2014	10000000	fair	Tamil Nadu	owned	True
167	Hydraulic Crane 50T	Girnar Plant & Machinery	2024	21100000	good	Delhi	owned	True
168	Concrete Batching Plant	Girnar Plant & Machinery	2021	21900000	fair	Gujarat	owned	True
169	Transit Mixer	Girnar Plant & Machinery	2016	2600000	good	Jharkhand	owned	True
170	Soil Compactor	Ashva Engineering	2018	5100000	fair	Tamil Nadu	owned	True
171	Motor Grader	Mahadev Heavy Machinery	2015	9900000	new	Maharashtra	owned	True
172	Tipper Truck	Mahadev Heavy Machinery	2024	4300000	good	Tamil Nadu	owned	False
173	Piling Rig	TerraForm Machines	2015	51900000	good	West Bengal	owned	True
174	DG Set 250kVA	EarthMaster Equipments	2014	1200000	good	Gujarat	leased	True
175	Water Tanker	TerraForm Machines	2021	900000	new	West Bengal	owned	False
176	Tower Crane	IndoCrane Industries	2016	23400000	fair	Bihar	owned	True
177	Paver Finisher	Mahadev Heavy Machinery	2012	23300000	fair	Maharashtra	leased	True
178	 Tunnel Boring Machine	Girnar Plant & Machinery	2017	474600000	fair	Maharashtra	leased	True
179	Gantry Crane	IndoCrane Industries	2014	18200000	new	Jharkhand	leased	False
180	Vibratory Roller	Mahadev Heavy Machinery	2018	7000000	fair	Gujarat	owned	True
181	Excavator	Vulcan Plant Works	2017	14600000	fair	Bihar	owned	True
182	Hydraulic Crane 50T	EarthMaster Equipments	2025	21300000	fair	Jharkhand	owned	True
183	Concrete Batching Plant	EarthMaster Equipments	2015	10400000	new	Uttar Pradesh	owned	True
184	Transit Mixer	IndoCrane Industries	2012	4700000	good	Maharashtra	owned	True
185	Soil Compactor	TerraForm Machines	2022	2400000	good	Uttar Pradesh	owned	True
186	Motor Grader	Ashva Engineering	2015	11000000	fair	Madhya Pradesh	owned	True
187	Tipper Truck	Girnar Plant & Machinery	2025	4100000	fair	Tamil Nadu	owned	True
188	Piling Rig	IndoCrane Industries	2025	53400000	good	West Bengal	owned	True
189	DG Set 250kVA	TerraForm Machines	2018	1200000	good	Delhi	owned	True
190	Water Tanker	Ashva Engineering	2020	1100000	good	Madhya Pradesh	owned	True
191	Tower Crane	Girnar Plant & Machinery	2012	25600000	good	Tamil Nadu	leased	True
192	Paver Finisher	EarthMaster Equipments	2021	18600000	good	Gujarat	owned	True
193	 Tunnel Boring Machine	Ashva Engineering	2016	452000000	new	Jharkhand	leased	True
194	Gantry Crane	TerraForm Machines	2018	16500000	fair	Tamil Nadu	owned	True
195	Vibratory Roller	TerraForm Machines	2023	2500000	new	Madhya Pradesh	owned	True
196	Excavator	EarthMaster Equipments	2022	16600000	new	Delhi	leased	False
197	Hydraulic Crane 50T	TerraForm Machines	2019	16700000	fair	Gujarat	owned	True
198	Concrete Batching Plant	Vulcan Plant Works	2025	17100000	good	West Bengal	owned	True
199	Transit Mixer	EarthMaster Equipments	2016	3200000	new	Jharkhand	owned	False
200	Soil Compactor	Ashva Engineering	2015	4400000	new	Tamil Nadu	owned	True
201	Motor Grader	IndoCrane Industries	2024	19500000	new	Bihar	owned	True
202	Tipper Truck	Vulcan Plant Works	2013	2300000	good	Delhi	owned	True
203	Piling Rig	IndoCrane Industries	2020	40900000	new	Uttar Pradesh	leased	True
204	DG Set 250kVA	EarthMaster Equipments	2014	1300000	new	Odisha	leased	True
205	Water Tanker	IndoCrane Industries	2023	1800000	good	Maharashtra	leased	True
206	Tower Crane	Girnar Plant & Machinery	2013	19400000	good	Rajasthan	owned	True
207	Paver Finisher	Mahadev Heavy Machinery	2023	19600000	fair	Odisha	owned	True
208	 Tunnel Boring Machine	IndoCrane Industries	2018	679400000	good	Gujarat	owned	True
209	Gantry Crane	Girnar Plant & Machinery	2020	21400000	fair	Jharkhand	leased	True
210	Vibratory Roller	Ashva Engineering	2024	3000000	good	Maharashtra	owned	True
TOTAL				10910600000				
=== SHEET: Notes ===
Plant and machinery register maintained by the equipment cell.
Cost is the acquisition value; depreciation is charged in the books at 10% SL.
Owned plant is available as technical-capability evidence in bids.
