=== SHEET: TB 2019-20 ===
Account	Debit (INR)	Credit (INR)	Balance (INR)
Bank	3653523150	3223825852	429697298
Contract Revenue — Bridges & Flyovers	1146842	74426028	-73279186
Contract Revenue — Buildings	0	181691960	-181691960
Contract Revenue — Expressways	15420137	1151569241	-1136149104
Contract Revenue — Industrial EPC	0	305735173	-305735173
Contract Revenue — Irrigation	0	169717821	-169717821
Contract Revenue — Large Bridges	11511431	855949562	-844438131
Contract Revenue — Roads & Highways	0	151834898	-151834898
Contract Revenue — Roads Maintenance	0	50566904	-50566904
Contract Revenue — Sewerage & Drainage	2564641	149722593	-147157952
Contract Revenue — Small Buildings	480436	31957730	-31477294
Contract Revenue — Tunnels	0	691786190	-691786190
Contract Revenue — Water Treatment	0	472835410	-472835410
Depreciation Expense	743690000	0	743690000
Equipment Hire Charges	521129497	0	521129497
GST Input Credit	405481222	824083744	-418602522
Materials Consumed	214049514	0	214049514
Output GST Payable	829685969	771802775	57883194
Plant & Machinery	915100000	0	915100000
Retention Money Receivable	142700426	0	142700426
Salaries & Site Overheads	979402139	0	979402139
Site Services	633845683	0	633845683
Specialist Works	403137849	0	403137849
Subcontracting Charges	480511172	0	480511172
TDS Payable	36093651	36547042	-453391
TDS Receivable	65452082	0	65452082
Term Loans (Secured)	0	826500000	-826500000
TOTAL	17270799230	17270799230	0
=== SHEET: TB 2023-24 ===
Account	Debit (INR)	Credit (INR)	Balance (INR)
Accounts Payable	1450913148	1807177578	-356264430
Accounts Receivable	2857754622	2300636315	557118307
Accumulated Depreciation	0	755260000	-755260000
Bank	2165895505	1685700742	480194763
Contract Revenue — Bridges & Flyovers	0	41478662	-41478662
Contract Revenue — Buildings	3871403	202423504	-198552101
Contract Revenue — Expressways	0	56312692	-56312692
Contract Revenue — Industrial EPC	0	179162761	-179162761
Contract Revenue — Irrigation	1976954	358578132	-356601178
Contract Revenue — Large Bridges	0	823193916	-823193916
Contract Revenue — Roads & Highways	3632325	168575353	-164943028
Contract Revenue — Roads Maintenance	0	28922113	-28922113
Contract Revenue — Small Buildings	0	19650614	-19650614
Contract Revenue — Tunnels	0	117819237	-117819237
Contract Revenue — Water Treatment	2034638	425708995	-423674357
Depreciation Expense	755260000	0	755260000
Equipment Hire Charges	373775384	0	373775384
GST Input Credit	275671127	380016956	-104345829
Materials Consumed	254692780	0	254692780
Output GST Payable	452999614	435928643	17070971
Plant & Machinery	115700000	0	115700000
Retention Money Receivable	82389237	0	82389237
Salaries & Site Overheads	48206213	0	48206213
Site Services	124858302	0	124858302
Specialist Works	471944610	0	471944610
Subcontracting Charges	306235375	0	306235375
TDS Payable	24563198	24591720	-28522
TDS Receivable	38763498	0	38763498
TOTAL	9811137933	9811137933	0
=== SHEET: TB 2024-25 ===
Account	Debit (INR)	Credit (INR)	Balance (INR)
Accounts Payable	1442014220	1827172284	-385158064
Accounts Receivable	2756051261	2305213090	450838171
Accumulated Depreciation	0	763810000	-763810000
Bank	2170415660	2035755544	134660116
Contract Revenue — Bridges & Flyovers	4264424	114509215	-110244791
Contract Revenue — Buildings	4595141	172207727	-167612586
Contract Revenue — Industrial EPC	1536116	205751317	-204215201
Contract Revenue — Irrigation	0	424861362	-424861362
Contract Revenue — Large Bridges	1868348	684015350	-682147002
Contract Revenue — Roads & Highways	0	396699986	-396699986
Contract Revenue — Roads Maintenance	0	25734569	-25734569
Contract Revenue — Sewerage & Drainage	0	87614059	-87614059
Contract Revenue — Small Buildings	125762	4625763	-4500001
Contract Revenue — Water Supply	0	3128510	-3128510
Contract Revenue — Water Treatment	3619393	216488834	-212869441
Depreciation Expense	763810000	0	763810000
Equipment Hire Charges	353417344	0	353417344
GST Input Credit	278721167	0	278721167
Materials Consumed	308102240	0	308102240
Output GST Payable	465922527	420414569	45507958
Plant & Machinery	85500000	0	85500000
Retention Money Receivable	77155404	0	77155404
Salaries & Site Overheads	46392550	0	46392550
Site Services	452285288	0	452285288
Specialist Works	282556828	0	282556828
Subcontracting Charges	152089417	0	152089417
TDS Payable	23248791	24440894	-1192103
TDS Receivable	38751192	0	38751192
TOTAL	9712443073	9712443073	0
=== SHEET: TB 2025-26 ===
Account	Debit (INR)	Credit (INR)	Balance (INR)
Accounts Payable	2530126299	3366137075	-836010776
Accounts Receivable	3143792248	2212698027	931094221
Accumulated Depreciation	0	786170000	-786170000
Bank	2099189504	3217474094	-1118284590
Contract Revenue — Bridges & Flyovers	0	242453294	-242453294
Contract Revenue — Buildings	0	197166599	-197166599
Contract Revenue — Industrial EPC	0	313373220	-313373220
Contract Revenue — Irrigation	5177422	230228200	-225050778
Contract Revenue — Large Bridges	4518728	384390966	-379872238
Contract Revenue — Roads & Highways	0	479458580	-479458580
Contract Revenue — Roads Maintenance	0	11342512	-11342512
Contract Revenue — Sewerage & Drainage	0	304958283	-304958283
Contract Revenue — Small Buildings	149391	1541921	-1392530
Contract Revenue — Tunnels	0	210168020	-210168020
Contract Revenue — Water Supply	0	14586495	-14586495
Contract Revenue — Water Treatment	0	274562673	-274562673
Depreciation Expense	786170000	0	786170000
Equipment Hire Charges	358199314	0	358199314
GST Input Credit	513478489	0	513478489
Materials Consumed	437269129	0	437269129
Output GST Payable	414429432	479561485	-65132053
Plant & Machinery	223600000	0	223600000
Retention Money Receivable	64584369	0	64584369
Salaries & Site Overheads	53087704	0	53087704
Site Services	575494885	0	575494885
Specialist Works	595533760	0	595533760
Subcontracting Charges	886161498	0	886161498
TDS Payable	40886310	42883455	-1997145
TDS Receivable	37306417	0	37306417
TOTAL	12769154899	12769154899	0
=== SHEET: Notes ===
Trial balance by fiscal year, drawn from the general ledger.
Debits equal credits in every year; the balance column closes to zero.
Fiscal year runs 1 April to 31 March.
